I never get any notifications from the to do list,App Problem
I workout,User Action
It crashes,App Problem
note updates are completely hit,Neither
Facebook was updated,Neither
it would deserve 1 star,Neither
You have to resign in,App Problem
he called the cops,Neither
refresh the page or else,User Action
Instagram will not work,App Problem
I hate it,Neither
I open it,User Action
Niantic randomly lost my account I started a new account which then randomly got logged out,App Problem
I would be able to play that certain song,Neither
The bar code scanning does not work at all on the new version,App Problem
time is of the essence,Neither
a level is selected the game crashes,App Problem
Ever since I updated this app,User Action
I end a run it completely crashes,App Problem
I enlarged from the iPhone size,User Action
I 'm on an IPod touch 5th gen,Neither
I get so irritated sometimes I just wanna throw my iPod out the window,Neither
"However , the more I used it , the more unstable",Neither
slam your face into a glass wall,Neither
This company is just now realizing that they need to communicate,Neither
Please fix it,Neither
i try to log in,User Action
I open the app,User Action
because it 's not fun to have to go through so much trouble,Neither
"in app , it can literally take half a minute",App Problem
to save yourself,-1
It 's,-1
wo n't go any farther,App Problem
I use the app I feel,Neither
I 'm deeply disappointed with this service,Neither
"I even click on "" go",User Action
i go back to the messages page,User Action
I tried restarting my phone,User Action
do nt care to know them,Neither
"because I am so pleased , and just busy",Neither
They said it was a free game,Neither
I am still getting messages on my phone,Neither
I logged out of my snapchat,User Action
I wish I could give it less than 1 star,Neither
they said to delete the app,Neither
a FedEx jst screams across my iPad,Neither
"that it , come one fb",Neither
"again today , the time it is scheduled to remind me came",Neither
I deleted my facebook,User Action
it works,-1
it 's working,App Problem
"and then within maybe 15 seconds into the webinar , the app crashed",App Problem
re - installing,User Action
Liked it better,Neither
Just wait,-1
u just want to jump back into a game 3,Neither
I go,-1
Please fix your game,Neither
It keep freezing,App Problem
"complete 3 quests , which it only allows you to complete 1'quest every 24 hours",Neither
as app is opened,User Action
You will need an extra bird,Neither
Although this is very inconvenient,Neither
SAYS TIME OUT,App Problem
even though I pressed,User Action
it freezes the app forcing me to restart,App Problem
Uninstalling and reinstalling does n't fix it,Neither
I add somebody on Facebook,User Action
it starts back crashing everytime,App Problem
it will freeze,App Problem
it would work,App Problem
Now I find out they do n't want to fix the footsteps,Neither
it started crashing every five seconds,App Problem
like I used to,Neither
Pinterest makes download the app for mobile version,Neither
App keeps crashing,App Problem
I actually did enjoy snapchat,Neither
Please fix,-1
wo n't send messages,App Problem
I only update iOS,Neither
I have to log in,User Action
It also crashes,App Problem
now it closes,App Problem
Software is n't a news story - it 's more like publishing a textbook,Neither
The app crashes,App Problem
was fine,-1
because you got the tickets from expedia you must stick with their rules ( non refundable,Neither
charge $ 9.99,Neither
it keeps crashing,App Problem
the photos in the articles are glitching so bad,App Problem
"on the next page , I added a bunch of tabs with FORM",User Action
It 's terrible,Neither
I tap on a snap video my friend sends me,User Action
This app is great,Neither
it 's so annoying to use this app,Neither
goes straight black,App Problem
powering down,-1
just freezes,App Problem
Ca n't comment on statuses / pics etc,App Problem
I have loved this game for a very long time,Neither
the This is,Neither
because it closes out,App Problem
downloaded it again,User Action
attempting to load,App Problem
making videos,-1
RIP Pokemon Go,Neither
you have to pay,Neither
Someone please fix this,Neither
made it total crap,Neither
stop sending message about me,Neither
using Facebook,-1
now you will have to spend around $ 150,App Problem
I try to sync my Vivosmart device,User Action
do n't ask again,Neither
than I do,Neither
"They flake out , they will most likely just disappear",App Problem
clicking something,User Action
unless reinstalled sincerely,User Action
I first got my phone 18 months ago,Neither
I 'm playing,User Action
Snapchat is about sending pictures to your friends not looking at news and magazines,App Problem
It kicked me out,App Problem
"Since update on November 8 , 2013 Facebook will not open",App Problem
the lowest u can rank is one,Neither
never received my stars now,App Problem
These two problems are obnoxious,Neither
Last update does n't work,App Problem
I hate the new update please change it back,Neither
it deleted my app,App Problem
Worked fine for a while,App Problem
still nothing is fixed,Neither
to navigate this version,Neither
If advertisers pay PANDORA,Neither
I play,-1
view my accounts,User Action
you play,-1
Would play rate higher,Neither
So my two hour bike of 24 miles became a 60 mile trip,App Problem
it was done,Neither
I go on a error message,App Problem
For the past month my app has been skipping tracks in its own,App Problem
It was much better,Neither
You screwed your entire app,Neither
I try to open the app,User Action
I have reinstalled twice now,User Action
My app has been crashing,App Problem
I am obsessed with it,Neither
I ca n't post statuses at some points,App Problem
I comment on anything,User Action
appear it only wants money,App Problem
I get a message,User Action
I am,-1
I shuffle a playlist,User Action
I have to delete the app,User Action
price was reasonable,Neither
It needs to be tested,Neither
Constantly freezes crashes,App Problem
I updated it today,User Action
information is can sometimes be irrelevant,Neither
Tried to reinstall,User Action
you go,-1
Fix it,-1
I could catch a few Pokemon while at home,Neither
I 've uninstalled only to reinstall,User Action
"you 're taking the risk of getting the "" no rides available in your area "" alert or "" unfortunately Uber is currently not available in your area",App Problem
Facebook is one of those apps,Neither
so I can input,Neither
To sum it up,User Action
It 's very poor form,Neither
Drops calls,-1
This is horrible,Neither
my snapchat will crash,App Problem
if it is working at some time,App Problem
App wo n't reload my card,App Problem
later you might find a seat selected was removed,App Problem
Would sometimes lead to it crashing,App Problem
it says it ca n't recognize my info,App Problem
If you want something with real news,Neither
Niantic furthered it 's traffic,Neither
reinstall it,User Action
cause i had to,Neither
I updated to the latest version,User Action
I 'm starting to get tired of this game,Neither
I am writing a status update,User Action
It worked just fine,App Problem
DELETE this app,User Action
if the associated service was free,Neither
immediately deleted it,User Action
because it makes me log in everytime then go to the App Store,App Problem
I accept extra lives,User Action
what you see,Neither
once I had saved all my pics to it,User Action
Yes having a messenger app is a great idea,Neither
I get notification,User Action
I want to post photos,User Action
I have 3 boys,Neither
Not to mention she kept the meter on for an extra 12 miles ( estimated 24 minuets ) after dropping us off,Neither
like they 're hurting for the almighty $,Neither
I deny the access,User Action
it was fantastic,Neither
wanting to read a story,User Action
App used to work fine,Neither
to reset it,-1
nothing happens,-1
I have wifi connection,User Action
re downloaded it,User Action
it does,-1
I ca n't even check,App Problem
I wo n't be using the app again,Neither
all the comments agree,Neither
"For that , and from a company like WSJ , this is absolutely unacceptable",Neither
it 's fixed,Neither
we beat the game,User Action
add an optional video to watch,App Problem
I click a level,User Action
just using safari,User Action
it crashes immediately,App Problem
This new version is so much harder to use,Neither
It 's not my phone cause it works everywhere else but in snapchat,App Problem
scrolling through stories,App Problem
"Please , please drop the "" This is CNN",Neither
Whenever I 'm in Facebook scrolling threw it,App Problem
I proceeded,-1
it 's annoying,Neither
I would have to register again and . Not woth it,Neither
we need to be able to sort files by date or type,User Action
Please fix current update,Neither
people add me,User Action
I tap on it,User Action
this thing pops up,App Problem
it was not open,App Problem
MOVE ON,-1
you download,-1
you do it,Neither
9/6/14 - update ... just perfect now the app randomly crashes ALL THE TIME,App Problem
these remedies have not solved the problem,Neither
I love google,Neither
"Since the last update , the app has crashed during one run",App Problem
I wo n't know,Neither
"The the trick started where they offered free premium , which I never used , they came with a plan to limit it to 2 devices",Neither
move around,-1
"all beating Charizard , Pikachu , and Blastoise",Neither
start a snap,User Action
make the screen completely white,App Problem
you have to wait an additional 10 - 20 minutes for another one,App Problem
you reopen,-1
I 'm getting fed up with this app,Neither
You get three free levels,Neither
they disappear,-1
I try,-1
reinstalling to fix the problem,User Action
I have to switch between apps,User Action
I try to open it,User Action
I have music files on my onedrive,User Action
it expires,-1
switching between app features,User Action
there was no indication of cost,Neither
it gives me handsome and wealthy this update is terrible,Neither
I use it,User Action
"the "" call completes",App Problem
The game is awesome,Neither
adding a new method with the same information,User Action
Come on,-1
Yesterday I took a three mile bike ride around my town and the only to pop up was rattats and weedles,Neither
will probably delete,User Action
I bought lives,User Action
it 's just a nuisance,Neither
try again,-1
( please please pleaseee fix this asap,Neither
logging in,User Action
"It is slow , buggy",App Problem
This app was $ 1,Neither
recording my runs and volksmarches,App Problem
takes it from my inventory,App Problem
I downloaded the upgrade,User Action
You would think the developers never used the app,Neither
It confused the bejesus out of me,Neither
Now my keyboard screen pops up,App Problem
I 'm logged online,User Action
ca nt authenticate,App Problem
I would like to say it was my update to IOS 9,Neither
checking out the new features,User Action
anyone knows his birthday is on the 22nd,Neither
viewing pictures,User Action
I click it,User Action
flying with no internet connection due to convenience,User Action
call it new,Neither
I get a snap,User Action
crashes ALL THE TIME,App Problem
it shuts me out of Facebook completely,App Problem
Was may favorite app,Neither
to profile,-1
tried to play,User Action
I delete it,User Action
Please help,-1
is now just a mere shell of what it once was,Neither
These both need fixing,Neither
click on it,User Action
you log on,User Action
Happened repeatedly,-1
Clicking on a photo someone 's recently posted wo n't even show up half the time,App Problem
because it would just crash,App Problem
so users will now have to purchase pokeballs,User Action
This app is horrendously slow,App Problem
shuts down,App Problem
a rare Pokemon would spawn nearby,Neither
has issued no statement about when it will be fixed,Neither
made my phone freeze,App Problem
which is not very often,Neither
I communicate with a lot of customers thru Facebook,User Action
knowing M$,-1
the new Notification Center widget loads info for a second goes,Neither
for FB to load all over again,Neither
It 's always been slow and sketchy,App Problem
Which makes this app useless,Neither
Super laggy I wo n't play this game,App Problem
"I downloaded , just an empty progress wheel that wo n't disappear",App Problem
because this app certainly does not,Neither
it finally does load,Neither
The follow me weather does not work,App Problem
to login fresh,User Action
I do,-1
it properly updates,App Problem
App also forced music to pause,App Problem
Does n't open,App Problem
once I found out you have to pay,User Action
friends send you more,User Action
i updated,-1
"If it let you upload PDFs , to your drive",Neither
using it,Neither
as my GPS will stay on,User Action
downloading posts,App Problem
you try to comment,User Action
you try to start up the music again,User Action
to call back time,Neither
to open the app,User Action
it 's crashed,App Problem
like I 'll be finding a new app to use,Neither
scrolling through my news feed most of the time it sends me back to the top of the feed,App Problem
my phone has lost a mere 10 % over the course of 5 hours,App Problem
it is frustrating that they run silly stories for MONTHS ( varsity video game players,App Problem
they fix this,Neither
some stated that deleting and the app fixed the problem,Neither
location service wo n't turn off,App Problem
it got taken off my app,App Problem
Did n't help at all,Neither
Snapchat keeps saying that I need to connect to iTunes,App Problem
you download it,User Action
Also it glitches a TON,App Problem
I loved this app more than anything,Neither
"Instead of messing with minor bug fixes , GO STRAIGHT TO MAJOR BUG FIX",Neither
I actually dumped,Neither
that they start sending popups,App Problem
it 's so stupid,Neither
I never can log in most of the time,App Problem
i login,-1
it used to work,Neither
to load my newsfeed,User Action
LEAVE ME ALONE,Neither
cover it in his typical spunk,Neither
it still wo n't let me sign in,App Problem
I dial,-1
to say,-1
this gets fixed,Neither
It times out,App Problem
lost a lot of money,User Action
fix their app,Neither
have tried all their tricks,User Action
Been doing it about 4 days,Neither
this is unfair,Neither
It logs me out,App Problem
I get updates from the past hour,User Action
you open an article,User Action
it has ever been,Neither
instead a thumbnail of my friends profile pic shows up,App Problem
It use to scroll all the way to the top of the feed,Neither
to get extra moves or tools to complete level,Neither
Facebook first came out,Neither
u press chat,User Action
You 're using 3 Pokeballs now,Neither
a server migration is lost on me,App Problem
It constantly crashes,App Problem
I downloaded it,User Action
just use the YouTube app,User Action
I do n't want to have people 's snapchat story automatically put in my face,Neither
the app freezes,App Problem
makes me ponder,Neither
I die,-1
where they migrated the database which caused an app downtime of 2 days or so and 300 miles of my runs,Neither
loved it,Neither
if I do n't touch the phone for long periods,User Action
"i m actually connected , also tried VPN no results",User Action
taking way longer,App Problem
I press the snapchat app icon on the home screen,User Action
Should have done a better job QC it,Neither
now it crashes,App Problem
it stays open for,App Problem
I first tried this game,User Action
Since yesterday I could n't go on Facebook,App Problem
2:I died,-1
As I see it,Neither
Even though snapchat is saying that it 's saving my snaps and timeline,App Problem
it is back to not working,App Problem
it broke,-1
it happens,-1
how much facebook takes advantage of their users,Neither
I 'm with JOE BLOW at the lake,Neither
but it lags a lot it closes,App Problem
you get a candy wrapper it explodes,App Problem
browsing stories,-1
to load,-1
syncing iPhone app,User Action
taking me back to the beginning,App Problem
This price is ridiculous,Neither
Stopped using it,User Action
The new update makes snapchat crash,App Problem
it was all in one,Neither
i called the hotel,User Action
takes forever,App Problem
It is n't very fun,Neither
redownload it,-1
"I admit that I use Snapchat a lot , so it 's rather infuriating",Neither
make it difficult,Neither
send messages,User Action
it wo n't refresh my feed,App Problem
I am watching a video or broadcasting live,User Action
there is nothing there,App Problem
Was really excited,Neither
deleting the app,User Action
this problems fixed,Neither
New version has many bugs and lots of crashes,App Problem
I click on it,User Action
If you have the old version,User Action
"However , randomly popping up ads",App Problem
I have a keypad open,User Action
servers can not handle current amount already up,App Problem
The application version of Facebook does n't contain everything the web browser has to offer,App Problem
I deleted the game,User Action
I reopen the app,User Action
using the app,User Action
The app gets ' improvements ' ( adverts ) it crashes,App Problem
for status to be public,Neither
I checked my settings,User Action
App is instantly crashing,App Problem
you select that option,User Action
the music stops playing,App Problem
you swipe you wait,User Action
it finished,-1
reinstall the app,User Action
I am trying to check the weather,User Action
reinstalled it the problem would be fixed,Neither
lags a lot like,App Problem
I think I 'll just stick to the mobile site,User Action
I love this game,Neither
I beg you,Neither
Really hope u guys are working,Neither
they do n't clear,App Problem
you skip through 6 songs,User Action
again watching you warning you to download,Neither
"Now , it 's crashing on me",App Problem
I try to change my profile pic,User Action
the check deposit feature RARELY works,App Problem
Looks like,-1
Just updated,-1
I 've tried uploading my pictures from vacation 4 times,User Action
"However , now I want to be able to do video calls on my iPad 2 with my Skype contacts without having to use that nauseating blow - a - iPhone - app - up feature",Neither
"just use Safari , waaaaaay easier",Neither
the radio feed starts,App Problem
It is absolutely DRAINING my battery,App Problem
I think I 've replied to someone,User Action
you update yourself out of Business,Neither
the blue circle just swirls endlessly,App Problem
The interface was simple and clean,Neither
the game crashed,App Problem
take a walk,User Action
please do not put adds,Neither
She does n't just conquer,Neither
it shows a ad,App Problem
it is way better dumb Facebook,Neither
see three posts by the same person from yesterday,App Problem
re - download,Neither
I have not been able to look at pics,App Problem
I cancelled my premium subscription,User Action
Installed this,-1
The app retains your info and your account info,App Problem
I selected the results in this app,User Action
while I could and hope they resolve their issues soon,Neither
"1 ) Allow change to one way on "" select flight page",Neither
my phone died,App Problem
pandora crashed,App Problem
it did one time,Neither
nothing has worked,Neither
did not have correct mileage,App Problem
never said that,Neither
I try to find my friends,User Action
developers fail to read,Neither
Update please,-1
"The comments wo nt load , my profile ca nt load , most of all the pictures ca nt load",App Problem
Please fix this loading bug,Neither
you open it,User Action
I wasted 2.99,Neither
Hate it,-1
"then turn it back on , the app apparently crashes has to load back up from scratch annoying",App Problem
if you get more then 7 days out,User Action
restart it,-1
This glitch lasted for weeks,App Problem
It seriously glitches,App Problem
trying to go ' most recent,User Action
There are too many running games for me to pay $ 10 for a game I 've waited months,Neither
The new update makes the music stop,App Problem
just to play one game,Neither
This typically happens,Neither
Used to love this app,Neither
Wasting hearts and time,Neither
It was fun,Neither
Now it force closes,App Problem
I tried restarting skype,User Action
the app updated,Neither
I would not recommend this application to anyone,Neither
Tells you that you have messages,App Problem
it lasted,-1
to listen to music,User Action
It takes a long time to load,App Problem
I tried to install the new update,User Action
I do n't always write reviews,Neither
Ca n't even open the app,App Problem
I feel cheated,Neither
I open Snapchat,User Action
at least it was sent,Neither
I uninstalled,-1
I used accuweather,User Action
I do not want notifications,Neither
This app could n't tell you which direction the sun rises from,App Problem
to watch it again,User Action
plz fix this,Neither
I press view,User Action
"just listened to an ad , literally get 5 ads after",App Problem
I send email on my computer,User Action
take pics,-1
for a game to come out,Neither
I go on,Neither
I lose a life,Neither
It was this app ?€?s fault,Neither
am waiting on important messages,User Action
Toggling between fb,User Action
the application does n't even load,App Problem
I signed up,User Action
I 'm deleting it,User Action
I 've tried uninstalling the app,User Action
you hit reservations,User Action
they are on Facebook or Messenger,Neither
I log in through Google,User Action
instead they entirely remove it,Neither
I am whisked away to the App Store,Neither
unlikes itself,-1
to charge,-1
This is garbage,Neither
if I touch the picture it will flip to portrait,App Problem
Swiping between my feed,User Action
there is no reason to remove editing for this application,Neither
It just tries to open then gets stuck,App Problem
I contacted Customer Service thru the App,User Action
I upgraded,-1
every once in a while I receive a message,App Problem
"Now , it wo n't even open",App Problem
Once removed,Neither
whenever I want to upload a picture,User Action
Works fine,-1
you are trying to scroll,User Action
they make you pay for the rest of the game,Neither
actually playing,-1
u wanna download it,User Action
once you have a taste for the product,App Problem
says oops that is invalid,Neither
the same thing happens,Neither
Keeps crashing,App Problem
I update Facebook,User Action
you click on a post or picture,User Action
catching a Pokemon,Neither
New update does n't show me,App Problem
have to restart the whole phone,User Action
I have an iPhone 4S,User Action
now it happens with all links,App Problem
removed the feature that allowed you to view your pending transactions with a * next to it,Neither
sit there,Neither
This apps get more and more worthless with each update .... says I have notifications work,Neither
Turns played,-1
upload it to Facebook,User Action
no filters pop up,App Problem
I used Chase mobile banking,Neither
The app crashed,App Problem
Checked to see if a friend 's flight was on time,User Action
I try to send snaps,User Action
forget it,Neither
I have not,Neither
Also because they let 5/6 of my pikachus run away,Neither
"it says that it 's "" pending "" and - I can receive snapchats",App Problem
to continue to use,Neither
I finally check my messages,User Action
writing messages,User Action
soon enough i die,Neither
So o do n't know if the game is good,Neither
It 's been days,Neither
"booking a trip , flight , car",User Action
the load for current weather takes forever,App Problem
I was trying to swim in my cousins backyard,Neither
I can only connect,Neither
I liked it better,Neither
your establishments get robbed at gunpoint,Neither
try to reopen,User Action
Go screw yourselves cnn,Neither
is completely useless,Neither
Do n't release,Neither
it force quits,App Problem
Calibration is off,App Problem
level 3 came,Neither
"Now , it crashes",App Problem
it will show the picture screen and then Itl crash,App Problem
the app is good on concept,Neither
It locks up,App Problem
you are allowed to play again,User Action
Niantic blows,-1
Do not update this app,Neither
it opens,-1
I start,-1
It gets worse,Neither
zoom way in,App Problem
reading a story,User Action
the smaller circle is annoying,Neither
I 'm unable to use my groups link,App Problem
start losing money,User Action
to review it,-1
I love my niece,Neither
designing it,-1
my app crashes constantly,App Problem
the app crashes on startup,App Problem
still provides a fun way to pass the time,Neither
"Also , I have ALWAYS gotten notifications from my BFF",Neither
will be deleting,User Action
Very poorly made,Neither
for me to log in,User Action
to shop small businesses,User Action
Most people who choose to read choose reading,User Action
it logged me out,App Problem
we were n't blind,Neither
it 's not crashing,App Problem
it acts,-1
"it always crashes , please update the app , i really ca n't open the Facebook app",App Problem
i open,-1
Still ca n't sing up,User Action
The multiplayer is repetitive,Neither
trying to play with ur kids,User Action
App was working fine,App Problem
it just crashes,App Problem
run away,-1
because now it takes the stories forever,App Problem
so you waist a ton of balls,Neither
FIX IT NOW,Neither
that song ends,User Action
as others have stated,Neither
delete your account,App Problem
they wanted me to pay 10 dollars for the rest of the game,Neither
I thought it was a credit card,Neither
the app does n't even load,App Problem
chat there,User Action
I get close to a Pokemon,User Action
this game has made more people active in 5 days,Neither
the last update completely wiped my data,App Problem
I launch it,User Action
Please fix ASAP,Neither
it wil stop playig Music,App Problem
I tap around the Pokemon,User Action
since the stupid notification would n't go away,App Problem
based on this terrible update,Neither
I go to update it,User Action
sends to Facebook,App Problem
Now it shuts down,App Problem
so I have to delete it,User Action
Seriously the app was working great,App Problem
it was first released,Neither
one posted 20 mins ago,User Action
It lags,App Problem
I downloaded snapchat,User Action
you unlock it,User Action
"I look at in my favorites , it 's the same weather",Neither
It would be great,Neither
THOSE SMH NEED TO FIX,Neither
this game came out,Neither
I love the app,Neither
turned it off,User Action
as I love fox news,Neither
click on a picture the app closes automatically,App Problem
You betrayed me Arnie,Neither
the app wo n't even let me log in,App Problem
it said I was not viewing,App Problem
it 's loading,App Problem
my phone number is blocked,App Problem
it never loads,App Problem
Pokevision or the nearby step system are fixed,Neither
I try to swipe,User Action
using iPhone 4 current version os,User Action
I travel,-1
Snapchat was better,Neither
fix it take away the location thing,Neither
I used this app,User Action
updated my Facebook,User Action
I put everything in,User Action
add photos or animation,User Action
Try the New York Times,User Action
the constant crashing,Neither
to help them out,Neither
The old app was very good,Neither
FIX THIS,-1
deleting it,User Action
App closes,-1
Worked great,-1
has gotten significantly worse over time,Neither
Have deleted the app,User Action
hope new management comes,Neither
to reload,-1
Big fail,-1
even the username & password are correct,User Action
lately I feel that they are headed down the wrong path,Neither
it 's blank,App Problem
i click ANY button,User Action
it goes back to game 1,App Problem
I 'll hit the play button,User Action
They better be glad so many people are too addicted to FB,Neither
here it comes again,Neither
used to be,Neither
"asked about tracking my location "" always",Neither
trying to open,User Action
I have tried everything,Neither
Becoming a so slow application,Neither
A recent addition of pop - up ads ( usually the exact same one ) overtake the page,App Problem
not sign up,Neither
They said that they ca n't refund me,Neither
My snapchat is n't working,App Problem
I have had so many issues with this most recent update,Neither
as I hit it,User Action
Snapchat was,-1
it freezes very annoying,App Problem
go back,User Action
"In reading a lot of the other reviews , obviously I 'm not alone",Neither
The app paused during the update,App Problem
I was so exited,Neither
it keeps shutting down and does it,App Problem
if I 'm trying to ignore the person then it all of a sudden loads it,App Problem
I get a notification from Facebook,User Action
I 'd like to pick up from where I left off after switching to a different app,User Action
it did n't work,Neither
"well , I never used locator apps",Neither
u change it back,User Action
"In the off chance that it works , it takes FOREVER to load them",App Problem
I downloaded,-1
EVERYTHING REFRESHES,-1
"as I felt this service was not only unacceptable , but dangerous",Neither
I could n't get in,App Problem
It keeps force closing it takes me back to my home screen,App Problem
I could read it,User Action
This app worked great,App Problem
I refresh,-1
CNN sold Zite to Flipboard,Neither
Thank you,-1
Log back in,Neither
to view it,User Action
takes days to reply,Neither
starts me over,App Problem
ultimately succeeding,-1
now every picture in the timeline is cut in half,App Problem
connected to wifi,User Action
Plz change that,Neither
Fix ASAP!!!!!!it only lets me be on it for a minute takes me out,App Problem
I first downloaded this app,User Action
scroll down,User Action
Remove Offers From Account Activity,Neither
unless something changes soon ill be avoiding this app,Neither
It starts a timer,App Problem
I knew it,Neither
That 's ridiculous,Neither
ur trying to check ur news feed,User Action
I tap it,User Action
even though I have already logged into Uber,User Action
I 've never had a problem with this app,Neither
it demanded that I provide a login through my cable provider Verizon fios,App Problem
uploading photos,-1
they 're on Skype,User Action
once they fix the bugs,Neither
if I get frustrated,Neither
So know I ca n't simply use SNAPCHAT,Neither
it closes out without any error messages,App Problem
STOP IT,-1
